"","X","Sex","Wmax","Lmax..cm.","Tmax..y.","Country","Locality","spp","sppid"
"1932",2,"female",NA,20.4,NA,"Global","Not specified.","age_size_Bufoceratias_thele",58985
"1933",1,"unsexed",NA,19.6,NA,"Global","Not specified.","age_size_Bufoceratias_wedli",10181
"1934",1,"female",NA,13.7,13,"France","Douarnenez Bay, Brittany","age_size_Buglossidium_luteum",53
"1935",2,"mixed",NA,NA,4,"Turkey","Izmir Bay, central Agean Sea","age_size_Buglossidium_luteum",53
"1936",1,"unsexed",NA,4.3,NA,"Global","East Indies","age_size_Bulbonaricus_davaoensis",7722
"1937",2,"unsexed",NA,4.3,NA,"Global","Indo-Pacific","age_size_Bulbonaricus_davaoensis",7722
"1938",1,"unsexed","2.80 g",6.7,NA,"Brazil","Uruguay River","age_size_Bunocephalus_doriae",48641
"1939",1,"unsexed",NA,10,NA,"China","Not specified","age_size_Butis_butis",8035
"1940",2,"unsexed",NA,13,NA,"Australia","Port Hedland (WA) to Clarence river (NSW)","age_size_Butis_butis",8035
"1941",1,"unsexed",NA,14.6,NA,"Canada","Arctic Canada","age_size_Bythites_fuscus",56383
"1942",1,"unsexed",NA,4,NA,"Global","East Indies","age_size_Cabillus_lacertops",23692
"1943",1,"unsexed",NA,3.7,NA,"Global","East Indies","age_size_Cabillus_tongarevae",7252
"1944",2,"unsexed",NA,2.7,NA,"Maldives","Not specified.","age_size_Cabillus_tongarevae",7252
"1945",1,"unsexed",NA,35,NA,"Global","East Indies","age_size_Caesio_caerulaurea",918
"1946",2,"unsexed",NA,35,NA,"Global","unspecified","age_size_Caesio_caerulaurea",918
"1947",1,"unsexed",NA,50,NA,"Global","East Indies","age_size_Caesio_cuning",919
"1948",2,"unsexed",NA,60,NA,"Global","unspecified","age_size_Caesio_cuning",919
"1949",1,"unsexed",NA,40,NA,"Global","East Indies","age_size_Caesio_lunaris",920
"1950",2,"unsexed",NA,40,NA,"Global","unspecified","age_size_Caesio_lunaris",920
"1951",1,"unsexed",NA,40,NA,"Global","East Indies","age_size_Caesio_varilineata",924
"1952",2,"unsexed",NA,40,NA,"Global","unspecified","age_size_Caesio_varilineata",924
"1953",1,"unsexed",NA,40,NA,"Global","East Indies","age_size_Caesio_xanthonota",927
"1954",2,"unsexed",NA,40,NA,"Global","unspecified","age_size_Caesio_xanthonota",927
"1955",1,"unsexed","5.0 kg",NA,11,"Mexico","Campeche Bank","age_size_Calamus_bajonado",1221
"1956",1,"unsexed","2.8 kg",NA,12,"","-","age_size_Calamus_brachysomus",3573
"1957",2,"female","2.4 kg",44,15,"Peru","North Peru","age_size_Calamus_brachysomus",3573
"1958",3,"male","3.4 kg",51,15,"Peru","North Peru","age_size_Calamus_brachysomus",3573
"1959",1,"unsexed","600.00 g",NA,12,"","-","age_size_Calamus_leucosteus",1225
"1960",2,"unsexed","",NA,11,"Mexico","Campeche Bank","age_size_Calamus_leucosteus",1225
"1961",3,"unsexed","",41,12,"USA","South Atlantic Bight","age_size_Calamus_leucosteus",1225
"1962",1,"unsexed","1.6 kg",NA,NA,"","-","age_size_Calamus_nodosus",1226
"1963",2,"unsexed","",NA,8,"Mexico","Campeche Bank","age_size_Calamus_nodosus",1226
"1964",3,"unsexed","",54,17,"USA","North and South Carolina, 1972-78","age_size_Calamus_nodosus",1226
"1965",1,"unsexed","600.00 g",NA,6,"","-","age_size_Calamus_proridens",1229
"1966",2,"unsexed","",NA,8,"Mexico","Campeche Bank","age_size_Calamus_proridens",1229
"1967",1,"unsexed",NA,85,NA,"Micronesia","Not specified.","age_size_Callechelys_catostoma",12888
"1968",1,"unsexed",NA,87,NA,"Micronesia","Not specified.","age_size_Callechelys_marmorata",12889
"1969",1,"unsexed",NA,55.1,NA,"Papua New Guinea","D'Entrecasteaux Islands","age_size_Callechelys_papulosa",53954
"1970",1,"unsexed","80.00 g",17,NA,"Brazil","Uruguay River","age_size_Callichthys_callichthys",10922
"1971",1,"unsexed",NA,4.2,NA,"Indonesia","Ambon, Molucca Islands","age_size_Callionymus_amboina",59289
"1972",1,"female",NA,10,3,"Australia","Moreton Bay, Queensland","age_size_Callionymus_belcheri",4697
"1973",2,"male",NA,10,3,"Australia","Moreton Bay, Queensland","age_size_Callionymus_belcheri",4697
"1974",1,"unsexed",NA,6.3,NA,"Israel","Gulf of Aqaba, 1993","age_size_Callionymus_bentuviai",56496
"1975",1,"unsexed",NA,3.4,NA,"Papua New Guinea","Horseshoe Reef, Port Moresby","age_size_Callionymus_colini",60090
"1976",1,"unsexed",NA,11.1,NA,"China","Not specified","age_size_Callionymus_curvicornis",55180
"1977",1,"unsexed",NA,6.7,NA,"Global","East Indies","age_size_Callionymus_delicatulus",17467
"1978",2,"unsexed",NA,6,NA,"Global","Indo-Pacific & Caribbean including the Red Sea","age_size_Callionymus_delicatulus",17467
"1979",1,"unsexed",NA,7.5,NA,"Global","East Indies","age_size_Callionymus_enneactis",17468
"1980",2,"unsexed",NA,8,NA,"Indonesia","Indonesia","age_size_Callionymus_enneactis",17468
"1981",1,"unsexed",NA,20,NA,"Global","East Indies","age_size_Callionymus_filamentosus",225
"1982",2,"unsexed",NA,16.5,NA,"Global","East Indies","age_size_Callionymus_filamentosus",225
"1983",1,"unsexed",NA,36,NA,"Global","East Indies","age_size_Callionymus_japonicus",10362
"1984",2,"unsexed",NA,20,NA,"Japan","Japan","age_size_Callionymus_japonicus",10362
"1985",1,"female",NA,NA,6,"UK Engld Wal","English Channel","age_size_Callionymus_lyra",23
"1986",2,"male",NA,NA,4,"UK Engld Wal","English Channel","age_size_Callionymus_lyra",23
"1987",3,"unsexed",NA,30,NA,"Spain","Galicia and Cantábrico, 1993","age_size_Callionymus_lyra",23
"1988",1,"unsexed",NA,13,NA,"Spain","Galicia and Cantábrico, 1991","age_size_Callionymus_maculatus",1807
"1989",1,"unsexed",NA,23,NA,"Global","East Indies","age_size_Callionymus_neptunius",27545
"1990",2,"unsexed",NA,13,NA,"Indonesia","Indonesia","age_size_Callionymus_neptunius",27545
"1991",1,"unsexed",NA,2.5,NA,"Indonesia","Lataluhat, Ambon, Molucca Islands","age_size_Callionymus_obscurus",60091
"1992",1,"unsexed",NA,5.2,NA,"Global","East Indies","age_size_Callionymus_pleurostictus",49419
"1993",2,"unsexed",NA,2.3,NA,"Global","unspecified","age_size_Callionymus_pleurostictus",49419
"1994",1,"unsexed",NA,11,NA,"India","not specified.","age_size_Callionymus_sagitta",26827
"1995",1,"unsexed",NA,6.4,NA,"Global","East Indies","age_size_Callionymus_scabriceps",59284
"1996",2,"unsexed",NA,8,NA,"Taiwan","norhtern and southern waters of Taiwan","age_size_Callionymus_scabriceps",59284
"1997",1,"unsexed",NA,6,NA,"Global","East Indies","age_size_Callionymus_simplicicornis",17470
"1998",2,"unsexed",NA,5,NA,"Global","Indo-Pacific & Caribbean including the Red Sea","age_size_Callionymus_simplicicornis",17470
"1999",1,"unsexed",NA,30,NA,"Global","East Indies","age_size_Callionymus_superbus",10606
"2000",2,"unsexed",NA,20,NA,"Indonesia","Indonesia","age_size_Callionymus_superbus",10606
"2001",1,"unsexed",NA,9.3,NA,"Global","East Indies","age_size_Callionymus_zythros",60540
"2002",1,"unsexed",NA,5.5,NA,"Global","East Indies","age_size_Callogobius_centrolepis",7254
"2003",2,"unsexed",NA,4,NA,"Micronesia","Not specified.","age_size_Callogobius_centrolepis",7254
"2004",1,"unsexed",NA,5,NA,"Global","East Indies","age_size_Callogobius_clitellus",27559
"2005",2,"unsexed",NA,5,NA,"Indonesia","Not specified.","age_size_Callogobius_clitellus",27559
"2006",1,"unsexed",NA,3.5,NA,"Global","East Indies","age_size_Callogobius_crassus",56133
"2007",1,"unsexed",NA,7,NA,"Global","East Indies","age_size_Callogobius_flavobrunneus",17050
"2008",2,"unsexed",NA,7,NA,"Global","Not specified.","age_size_Callogobius_flavobrunneus",17050
"2009",1,"unsexed",NA,7.5,NA,"Global","East Indies","age_size_Callogobius_hasseltii",7255
"2010",2,"unsexed",NA,5,NA,"Indonesia","locality not specified","age_size_Callogobius_hasseltii",7255
"2011",3,"unsexed",NA,7.3,NA,"Indonesia","Not specified.","age_size_Callogobius_hasseltii",7255
"2012",1,"unsexed",NA,7.5,NA,"Global","East Indies","age_size_Callogobius_hastatus",27560
"2013",1,"unsexed",NA,9,NA,"Global","East Indies","age_size_Callogobius_maculipinnis",7206
"2014",2,"unsexed",NA,6.8,NA,"Global","Not specified.","age_size_Callogobius_maculipinnis",7206
"2015",1,"unsexed",NA,6.5,NA,"Global","East Indies","age_size_Callogobius_okinawae",7207
"2016",2,"unsexed",NA,5,NA,"Micronesia","Not specified.","age_size_Callogobius_okinawae",7207
"2017",1,"unsexed",NA,7,NA,"Global","East Indies","age_size_Callogobius_producta",56130
"2018",1,"unsexed",NA,4.5,NA,"Global","East Indies","age_size_Callogobius_sclateri",7257
"2019",2,"unsexed",NA,5,NA,"Christmas I.","Not specified.","age_size_Callogobius_sclateri",7257
"2020",1,"unsexed",NA,10,NA,"Global","East Indies","age_size_Callogobius_snelliusi",23653
"2021",2,"unsexed",NA,3.3,NA,"Japan","Ishima Island, Tokushima","age_size_Callogobius_snelliusi",23653
"2022",1,"unsexed",NA,4.3,NA,"Global","East Indies","age_size_Callogobius_stellatus",27413
"2023",1,"unsexed",NA,16,NA,"Global","East Indies","age_size_Calloplesiops_altivelis",12655
"2024",2,"unsexed",NA,20,NA,"Indonesia","Not specified.","age_size_Calloplesiops_altivelis",12655
"2025",1,"female",NA,NA,10,"South Africa","South-western Cape","age_size_Callorhinchus_capensis",167
"2026",1,"female",NA,97,NA,"New Zealand","Pegasus and Canterbury Bight","age_size_Callorhinchus_milii",4722
"2027",2,"male",NA,76,NA,"New Zealand","Pegasus and Canterbury Bight","age_size_Callorhinchus_milii",4722
"2028",1,"unsexed",NA,50,NA,"Global","East Indies","age_size_Calotomus_carolinus",4355
"2029",2,"unsexed",NA,54,NA,"Global","unspecified","age_size_Calotomus_carolinus",4355
"2030",1,"unsexed",NA,40,NA,"Japan","Shirahama","age_size_Calotomus_japonicus",4356
"2031",1,"unsexed",NA,19,NA,"Global","East Indies","age_size_Calotomus_spinidens",4357
"2032",2,"unsexed",NA,30,NA,"Indonesia","Indonesia","age_size_Calotomus_spinidens",4357
"2033",3,"unsexed",NA,28.9,NA,"India","Lakshadweep lagoons, 1993-97","age_size_Calotomus_spinidens",4357
"2034",1,"unsexed",NA,2.8,NA,"Global","East Indies","age_size_Calumia_godeffroyi",13765
"2035",2,"unsexed",NA,3.6,NA,"Global","Great Barrier Reef and the Coral Sea","age_size_Calumia_godeffroyi",13765
"2036",1,"unsexed",NA,4.3,NA,"Global","East Indies","age_size_Calumia_profunda",27574
"2037",2,"unsexed",NA,2.2,NA,"Global","unspecified","age_size_Calumia_profunda",27574
"2038",1,"unsexed",NA,10.1,NA,"Taiwan","Taiwan Xinzhu","age_size_Candidia_barbatus",17304
"2039",1,"unsexed",NA,38,NA,"Global","East Indies","age_size_Cantherhines_dumerilii",5836
"2040",2,"unsexed",NA,35,NA,"Indonesia","locality not specified","age_size_Cantherhines_dumerilii",5836
"2041",3,"unsexed",NA,38,NA,"Somalia","Not specified.","age_size_Cantherhines_dumerilii",5836
"2042",1,"unsexed",NA,24,NA,"Global","East Indies","age_size_Cantherhines_fronticinctus",7842
"2043",2,"unsexed",NA,25,NA,"Mozambique","Not specified.","age_size_Cantherhines_fronticinctus",7842
"2044",1,"unsexed",NA,25,NA,"Global","East Indies","age_size_Cantherhines_pardalis",6635
"2045",2,"unsexed",NA,20,NA,"Indonesia","locality not specified","age_size_Cantherhines_pardalis",6635
"2046",3,"unsexed",NA,25,NA,"Global","Not specified.","age_size_Cantherhines_pardalis",6635
"2047",1,"unsexed",NA,50,NA,"Global","East Indies","age_size_Canthidermis_maculata",4278
"2048",2,"unsexed",NA,50,NA,"Global","Not specified.","age_size_Canthidermis_maculata",4278
"2049",1,"unsexed",NA,15,NA,"Global","East Indies","age_size_Canthigaster_amboinensis",7840
"2050",2,"unsexed",NA,12,NA,"Indonesia","locality not specified","age_size_Canthigaster_amboinensis",7840
"2051",3,"unsexed",NA,15,NA,"Global","Not specified.","age_size_Canthigaster_amboinensis",7840
"2052",1,"unsexed",NA,10,NA,"Global","East Indies","age_size_Canthigaster_bennetti",6541
"2053",2,"unsexed",NA,9,NA,"Indonesia","locality not specified","age_size_Canthigaster_bennetti",6541
"2054",3,"unsexed",NA,10,NA,"Global","Not specified.","age_size_Canthigaster_bennetti",6541
"2055",1,"unsexed",NA,9,NA,"Global","East Indies","age_size_Canthigaster_janthinoptera",6543
"2056",2,"unsexed",NA,8,NA,"Indonesia","locality not specified","age_size_Canthigaster_janthinoptera",6543
"2057",3,"unsexed",NA,9,NA,"Global","Not specified.","age_size_Canthigaster_janthinoptera",6543
"2058",1,"unsexed",NA,7,NA,"Global","East Indies","age_size_Canthigaster_leoparda",6545
"2059",2,"unsexed",NA,7.5,NA,"Indonesia","Not specified.","age_size_Canthigaster_leoparda",6545
"2060",1,"unsexed",NA,6.5,NA,"Global","East Indies","age_size_Canthigaster_ocellicincta",12684
"2061",2,"unsexed",NA,7.5,NA,"Indonesia","Not specified.","age_size_Canthigaster_ocellicincta",12684
"2062",1,"unsexed",NA,9,NA,"Global","East Indies","age_size_Canthigaster_papua",55072
"2063",2,"unsexed",NA,10,NA,"Indonesia","Not specified.","age_size_Canthigaster_papua",55072
"2064",1,"unsexed",NA,9,NA,"Global","East Indies","age_size_Canthigaster_smithae",12768
"2065",2,"unsexed",NA,13,NA,"Global","Not specified.","age_size_Canthigaster_smithae",12768
"2066",1,"unsexed",NA,9,NA,"Indonesia","locality not specified","age_size_Canthigaster_solandri",6578
"2067",1,"unsexed",NA,10,NA,"Global","East Indies","age_size_Canthigaster_valentini",6544
"2068",2,"unsexed",NA,10,NA,"Indonesia","locality not specified","age_size_Canthigaster_valentini",6544
"2069",3,"unsexed",NA,11,NA,"Global","Not specified.","age_size_Canthigaster_valentini",6544
"2070",1,"female",NA,NA,10,"Iran","Madarso stream, Golestan National Park","age_size_Capoeta_capoeta_capoeta",13157
"2071",2,"mixed",NA,NA,4,"Iran","Talar River","age_size_Capoeta_capoeta_capoeta",13157
"2072",3,"male",NA,NA,3,"Iran","Yasalegh stream (37°40' N, 37°30' E)","age_size_Capoeta_capoeta_capoeta",13157
"2073",1,"unsexed",NA,35,NA,"Iran","Caspian Sea","age_size_Capoeta_capoeta_gracilis",64660
"2074",1,"female",NA,NA,8,"Iran","Ziande-Roud River-Isfehan Province, Central Iran","age_size_Capoeta_damascina",26487
"2075",1,"male",NA,NA,5,"Iran","Shadmehr Qanat (35°14'35"" E; 59°32'13"" N), South Khorasan Province","age_size_Capoeta_fusca",55343
"2076",1,"female",NA,40.2,12,"Turkey","Karasu River (Aºkale region), 1995-97","age_size_Capoeta_umbla",63654
"2077",1,"unsexed","730.00 g",NA,8,NA,"-","age_size_Caprodon_longimanus",15086
"2078",1,"unsexed",NA,18,NA,"Spain","Galicia and Cantábrico, 1991","age_size_Capros_aper",54
"2079",2,"female",NA,NA,30,"","Northeast Atlantic","age_size_Capros_aper",54
"2080",3,"mixed",NA,NA,26,"Ireland","off SW Ireland (ICES Areas VIaS, VIIb, VIIg, VIIh, and VIIj)","age_size_Capros_aper",54
"2081",4,"mixed",NA,10.5,4,"Turkey","South Aegean Sea (37.5° to 37.0° N), 2009-2010","age_size_Capros_aper",54
"2082",1,"unsexed","1.8 kg",NA,NA,"Colombia","Rio Claro, 2003","age_size_Caquetaia_umbrifera",26781
"2083",2,"unsexed","2.5 kg",NA,NA,"Colombia","Rio Pontona, 2006","age_size_Caquetaia_umbrifera",26781
"2084",1,"unsexed",NA,5,NA,"Global","Not specified.","age_size_Caracanthus_maculatus",7873
"2085",1,"unsexed",NA,5,NA,"Australia","Not specified.","age_size_Caracanthus_unipinna",12899
"2086",1,"unsexed",NA,58,NA,"Global","East Indies","age_size_Carangoides_armatus",1916
"2087",2,"unsexed",NA,50,NA,"Iran","Strait of Hormuz, Persian Gulf and Oman Sea","age_size_Carangoides_armatus",1916
"2088",3,"unsexed",NA,57,NA,"Oman","unspecified","age_size_Carangoides_armatus",1916
"2089",1,"unsexed",NA,55,NA,"Global","East Indies","age_size_Carangoides_bajad",1923
"2090",2,"unsexed",NA,55,NA,"Global","Western Indian Ocean","age_size_Carangoides_bajad",1923
"2091",1,"unsexed",NA,60,NA,"Iran","Persian Gulf and Oman Sea","age_size_Carangoides_chrysophrys",4441
"2092",1,"unsexed",NA,41,NA,"Global","East Indies","age_size_Carangoides_coeruleopinnatus",1924
"2093",2,"unsexed",NA,36,NA,"Iran","Persian Gulf and Oman Sea","age_size_Carangoides_coeruleopinnatus",1924
"2094",3,"unsexed",NA,40,NA,"Global","unspecified","age_size_Carangoides_coeruleopinnatus",1924
"2095",1,"unsexed","",58.5,NA,"Global","East Indies","age_size_Carangoides_dinema",1925
"2096",2,"unsexed","",85,NA,"Indonesia","Indonesia","age_size_Carangoides_dinema",1925
"2097",3,"unsexed","",34,5,"Papua New Guinea","Lihir Island group (seamount), 1999-2002","age_size_Carangoides_dinema",1925
"2098",4,"unsexed","2.6 kg",NA,NA,"Global","Western Indian Ocean","age_size_Carangoides_dinema",1925
"2099",1,"unsexed",NA,21.5,NA,"Israel","Gulf of Aqaba, 1990","age_size_Carangoides_equula",1920
"2100",1,"unsexed","",70,NA,"Global","East Indies","age_size_Carangoides_ferdau",1921
"2101",2,"unsexed","8.0 kg",70,NA,"Global","Western Indian Ocean","age_size_Carangoides_ferdau",1921
"2102",1,"unsexed","",103,NA,"Global","East Indies","age_size_Carangoides_fulvoguttatus",1926
"2103",2,"unsexed","",120,NA,"South Africa","South Africa","age_size_Carangoides_fulvoguttatus",1926
"2104",3,"unsexed","18.0 kg",NA,NA,"Global","Western Indian Ocean fishing area","age_size_Carangoides_fulvoguttatus",1926
"2105",1,"unsexed","",90,NA,"Global","East Indies","age_size_Carangoides_gymnostethus",1905
"2106",2,"unsexed","14.5 kg",90,NA,"Global","Western Indian Ocean","age_size_Carangoides_gymnostethus",1905
"2107",1,"unsexed",NA,20.3,1,"Papua New Guinea","Lihir Island group (seamount), 1999-2002","age_size_Carangoides_hedlandensis",1907
"2108",1,"unsexed",NA,28,NA,"Global","East Indies","age_size_Carangoides_malabaricus",4443
"2109",2,"unsexed",NA,60,NA,"Global","Great Barrier Reef and Coral Sea","age_size_Carangoides_malabaricus",4443
"2110",3,"unsexed",NA,24,NA,"Iran","Persian Gulf and Oman Sea","age_size_Carangoides_malabaricus",4443
"2111",1,"unsexed",NA,46,NA,"Global","East Indies","age_size_Carangoides_oblongus",1908
"2112",2,"unsexed",NA,46,NA,"Global","unspecified","age_size_Carangoides_oblongus",1908
"2113",1,"unsexed",NA,70,NA,"Global","East Indies","age_size_Carangoides_orthogrammus",1909
"2114",2,"unsexed",NA,75,NA,"Indonesia","Indonesia","age_size_Carangoides_orthogrammus",1909
"2115",1,"unsexed",NA,46,NA,"Global","East Indies","age_size_Carangoides_plagiotaenia",1910
"2116",2,"unsexed",NA,50,NA,"Global","unspecified","age_size_Carangoides_plagiotaenia",1910
"2117",1,"unsexed",NA,22,NA,"India","not specified.","age_size_Carangoides_praeustus",1911
"2118",1,"female",NA,31,NA,"Dominican Rp","Juan Esteban, Barahona, 1988-89","age_size_Carangoides_ruber",1918
"2119",1,"unsexed",NA,50,NA,"Djibouti","Not given","age_size_Carangoides_talamparoides",1912
"2120",2,"unsexed",NA,30,NA,"Oman","Not given","age_size_Carangoides_talamparoides",1912
"2121",3,"unsexed",NA,28,NA,"Iran","Sea of Oman","age_size_Carangoides_talamparoides",1912
"2122",1,"unsexed",NA,NA,11,"USA","Northern Gulf of Mexico","age_size_Caranx_crysos",1933
"2123",1,"unsexed","",88,NA,"Global","East Indies","age_size_Caranx_heberi",1898
"2124",2,"unsexed","",85,NA,"Mozambique","Mozambique","age_size_Caranx_heberi",1898
"2125",3,"unsexed","",78,NA,"Iran","Oman Sea and the most eastern part of the Persian Gulf","age_size_Caranx_heberi",1898
"2126",4,"unsexed","",100,NA,"South Africa","South Africa","age_size_Caranx_heberi",1898
"2127",5,"unsexed","12.5 kg",NA,NA,"Global","unspecified","age_size_Caranx_heberi",1898
"2128",1,"unsexed",NA,80,NA,"Guinea-Bissau","Rio Grande de Buba","age_size_Caranx_hippos",71
"2129",1,"unsexed","66.00 g",165,NA,"Global","East Indies","age_size_Caranx_ignobilis",1895
"2130",2,"unsexed","",167,NA,"Yemen","Gulf of Aden, 1983-87","age_size_Caranx_ignobilis",1895
"2131",3,"unsexed","",170,NA,"Global","Indo-Pacific and Caribbean including Red Sea","age_size_Caranx_ignobilis",1895
"2132",4,"unsexed","",67,11,"Papua New Guinea","Lihir Island group (seamount), 1999-2002","age_size_Caranx_ignobilis",1895
"2133",5,"unsexed","",146,NA,"Iran","Persian Gulf and Oman Sea","age_size_Caranx_ignobilis",1895
"2134",6,"unsexed","80.0 kg",NA,NA,"Global","Polynesia","age_size_Caranx_ignobilis",1895
"2135",7,"unsexed","",165,NA,"South Africa","South Africa","age_size_Caranx_ignobilis",1895
"2136",8,"unsexed","",48,NA,"India","Tuticorin, 1984-87","age_size_Caranx_ignobilis",1895
"2137",1,"unsexed","",100,NA,"Global","Atlantic coast of North America","age_size_Caranx_lugubris",1936
"2138",2,"unsexed","",80,NA,"Global","East Indies","age_size_Caranx_lugubris",1936
"2139",3,"unsexed","",56,12,"Papua New Guinea","Lihir Island group (seamount), 1999-2002","age_size_Caranx_lugubris",1936
"2140",4,"unsexed","17.9 kg",NA,NA,"Global","unspecified","age_size_Caranx_lugubris",1936
"2141",1,"unsexed","",100,NA,"Global","East Indies","age_size_Caranx_melampygus",1906
"2142",2,"unsexed","",54,7,"Papua New Guinea","Lihir Island group (seamount), 1999-2002","age_size_Caranx_melampygus",1906
"2143",3,"unsexed","",100,NA,"South Africa","South Africa","age_size_Caranx_melampygus",1906
"2144",4,"unsexed","43.5 kg",NA,NA,"Global","unspecified","age_size_Caranx_melampygus",1906
"2145",5,"unsexed","",117,NA,"Global","unspecified","age_size_Caranx_melampygus",1906
"2146",1,"unsexed","",68,NA,"Global","East Indies","age_size_Caranx_papuensis",6360
"2147",2,"unsexed","",88,NA,"Global","Indo-Pacific & Caribbean including the Red Sea.","age_size_Caranx_papuensis",6360
"2148",3,"unsexed","",39,5,"Papua New Guinea","Lihir Island group (seamount), 1999-2002","age_size_Caranx_papuensis",6360
"2149",4,"unsexed","6.4 kg",NA,NA,"Global","unspecified","age_size_Caranx_papuensis",6360
"2150",1,"unsexed",NA,49,NA,"Guinea-Bissau","Rio Gande de Buba","age_size_Caranx_senegallus",1897
"2151",1,"unsexed","",78,NA,"Australia","Cape Cuvier, Western Australia and Sydney, New South Wales","age_size_Caranx_sexfasciatus",1917
"2152",2,"unsexed","",85,NA,"Global","East Indies","age_size_Caranx_sexfasciatus",1917
"2153",3,"unsexed","",60.5,11,"Papua New Guinea","Lihir Island group (seamount), 1999-2002","age_size_Caranx_sexfasciatus",1917
"2154",4,"unsexed","",78,NA,"Iran","Persian Gulf and Oman Sea","age_size_Caranx_sexfasciatus",1917
"2155",5,"unsexed","",80,NA,"South Africa","South Africa","age_size_Caranx_sexfasciatus",1917
"2156",6,"unsexed","18.0 kg",120,NA,"Global","unspecified","age_size_Caranx_sexfasciatus",1917
"2157",7,"unsexed","",17,NA,"China","Wanquan river system in Qionghai County, Guangdong Province","age_size_Caranx_sexfasciatus",1917
"2158",1,"unsexed","",70,NA,"Global","East Indies","age_size_Caranx_tille",1928
"2159",2,"unsexed","",51,7,"Papua New Guinea","Lihir Island group (seamount), 1999-2002","age_size_Caranx_tille",1928
"2160",3,"unsexed","",80,NA,"Global","unspecified","age_size_Caranx_tille",1928
"2161",4,"unsexed","7.2 kg",NA,NA,"Global","unspecified","age_size_Caranx_tille",1928
"2162",1,"unsexed",NA,30,NA,"Global","Not specified.","age_size_Carapus_boraborensis",16829
"2163",1,"unsexed",NA,17,NA,"Global","Not specified.","age_size_Carapus_mourlani",16791
"2164",1,"female",NA,10,NA,"Timor-Leste","Not specified.","age_size_Carapus_sluiteri",52454
"2165",1,"unsexed","",35,NA,"Iran","Caspian Sea","age_size_Carassius_auratus_auratus",271
"2166",2,"unsexed","",17.6,17,"China","Dongjiang River, Guangdong Province, 1981-82","age_size_Carassius_auratus_auratus",271
"2167",3,"unsexed","",NA,30,"","in captivity","age_size_Carassius_auratus_auratus",271
"2168",4,"unsexed","4.3 kg",NA,NA,"USA","Lindo Lakes, 2002","age_size_Carassius_auratus_auratus",271
"2169",5,"unsexed","",41,NA,"USA","north of Mexico","age_size_Carassius_auratus_auratus",271
"2170",6,"unsexed","",26,NA,"China","Not given","age_size_Carassius_auratus_auratus",271
"2171",7,"unsexed","",34,NA,"","not specified","age_size_Carassius_auratus_auratus",271
"2172",8,"unsexed","2.0 kg",NA,NA,"Hong Kong","not stated","age_size_Carassius_auratus_auratus",271
"2173",9,"unsexed","",20,NA,"Australia","not stated","age_size_Carassius_auratus_auratus",271
"2174",1,"unsexed","6.4 kg",64,NA,"Finland","Espoo, Lake Vuohilampi","age_size_Carassius_carassius",270
"2175",2,"unsexed","",34,NA,"Finland","Lake Marjalanlampi","age_size_Carassius_carassius",270
"2176",3,"unsexed","4.0 kg",NA,NA,"Denmark","Lake on Zealand, 2006","age_size_Carassius_carassius",270
"2177",4,"unsexed","",17.5,NA,"Nepal","None specified","age_size_Carassius_carassius",270
"2178",5,"unsexed","",14.8,NA,"China","Not specified","age_size_Carassius_carassius",270
"2179",6,"unsexed","",55,10,"","not specified","age_size_Carassius_carassius",270
"2180",7,"unsexed","4.3 kg",NA,NA,"Netherlands","not specified, 2009","age_size_Carassius_carassius",270
"2181",8,"unsexed","3.9 kg",NA,NA,"Poland","not specifoed, 1996","age_size_Carassius_carassius",270
"2182",1,"unsexed","3.8 kg",NA,NA,"Romania","Danube Delta, 1990","age_size_Carassius_gibelio",6376
"2183",2,"female","",NA,5,"Turkey","Gelingüllü Reservoir, Yozgat, Anatolia (35°032?02?? E,39°36?30?? N; alt: 1050 m)","age_size_Carassius_gibelio",6376
"2184",3,"unsexed","4.8 kg",NA,NA,"Germany","Kocher River, 2009","age_size_Carassius_gibelio",6376
"2185",4,"unsexed","",35,10,"","not specified","age_size_Carassius_gibelio",6376
"2186",5,"unsexed","3.8 kg",NA,NA,"Austria","Pichlinger Lake, 2004","age_size_Carassius_gibelio",6376
"2187",1,"female",NA,NA,11.5,"USA","eastern Gulf of Mexico","age_size_Carcharhinus_acronotus",857
"2188",2,"female",NA,130,4.5,"USA","Florida","age_size_Carcharhinus_acronotus",857
"2189",3,"male",NA,122,2.5,"USA","Florida","age_size_Carcharhinus_acronotus",857
"2190",4,"female",NA,154,5,"","Northwestern Atlantic","age_size_Carcharhinus_acronotus",857
"2191",5,"male",NA,164,6,"","Northwestern Atlantic","age_size_Carcharhinus_acronotus",857
"2192",6,"mixed",NA,NA,15,"Brazil","off Pernambuco (07°15'45'' S - 09°28'18'' S)","age_size_Carcharhinus_acronotus",857
"2193",7,"unsexed",NA,200,NA,"","Western Atlantic","age_size_Carcharhinus_acronotus",857
"2194",1,"female",NA,261,NA,"","Northwestern Indian Ocean","age_size_Carcharhinus_albimarginatus",858
"2195",2,"male",NA,235,NA,"","Northwestern Indian Ocean","age_size_Carcharhinus_albimarginatus",858
"2196",3,"unsexed",NA,300,NA,"Global","Not specified.","age_size_Carcharhinus_albimarginatus",858
"2197",4,"female",NA,208,NA,"","Southwestern Indian Ocean","age_size_Carcharhinus_albimarginatus",858
"2198",5,"male",NA,204,NA,"","Southwestern Indian Ocean","age_size_Carcharhinus_albimarginatus",858
