"","Linf","length_type","K","t0","sex","temp","Lm","","omega","country","locality","questionable","captive","NA","NA"
"5988",32,"SL",0.41,NA,"M",NA,NA,NA,2.63,"South Africa","Loskop Dam, Transvaal, 29°21'E 25°25'S","No","No","Oreochromis_mossambicus",3
"5989",32,"SL",0.21,NA,"",NA,NA,NA,2.33,"South Africa","Zeekoei Vlei Dam, Cape Prov. 18°01'E 34°04'S","No","No","Oreochromis_mossambicus",3
"5990",33,"SL",0.27,NA,"",0.39,NA,NA,2.46,"South Africa","Hartebeespoort Dam, Transvaal, 27°50'E 25°44'S","No","No","Oreochromis_mossambicus",3
"5991",33,"TL",0.15,NA,"",NA,NA,NA,2.21,"South Africa","Fundudzi Lake, 22°50'S 30°20'E","No","No","Oreochromis_mossambicus",3
"5992",34.7,"SL",0.3,NA,"",NA,NA,NA,2.56,"South Africa","Loskop Dam, Transvaal, 29°21'E 25°25'S","No","No","Oreochromis_mossambicus",3
"5993",34.9,"TL",0.3,NA,"",NA,NA,NA,2.56,"Sri Lanka","Parakrama Samudra (northern basin) 7°55'N 81°E","No","No","Oreochromis_mossambicus",3
"5994",35.1,"SL",0.21,NA,"",NA,NA,NA,2.41,"South Africa","Rust de Winter Dam, Transvaal, 28°28'E 25°14'S","No","No","Oreochromis_mossambicus",3
"5995",37.6,"SL",0.36,NA,"M",NA,NA,NA,2.71,"Hong Kong","Plover Cove Reservoir","No","No","Oreochromis_mossambicus",3
"5996",38.7,"SL",0.2,NA,"M",NA,NA,NA,2.47,"South Africa","Incomati-Limpopo, Transvaal","No","No","Oreochromis_mossambicus",3
"5997",38.8,"TL",0.24,NA,"",NA,NA,NA,2.56,"Sri Lanka","Parakrama Samudra (middle basin) 7°55'N 81°E","No","No","Oreochromis_mossambicus",3
"5998",40.6,"TL",0.22,NA,"",NA,NA,NA,2.56,"Sri Lanka","Parakrama Samudra (southern basin) 7°55'N 81°E","No","No","Oreochromis_mossambicus",3
"5999",43.7,"TL",0.52,NA,"",NA,NA,NA,3,"Sri Lanka","Kaudulla reservoir","No","No","Oreochromis_mossambicus",3
"6000",45,"TL",0.45,NA,"",NA,NA,NA,2.96,"Sri Lanka","Minnerya reservoir","No","No","Oreochromis_mossambicus",3
"6001",10.3,"SL",19.64,NA,"",NA,NA,NA,3.32,"Thailand","tanks","No","Yes","Oreochromis_niloticus_niloticus",2
"6002",10.6,"TL",8.14,NA,"",NA,NA,NA,2.96,"Thailand","experimental ponds","No","Yes","Oreochromis_niloticus_niloticus",2
"6003",10.7,"SL",7.26,NA,"",NA,NA,NA,2.92,"Thailand","tanks","No","Yes","Oreochromis_niloticus_niloticus",2
"6004",11.1,"SL",13,NA,"",NA,NA,NA,3.2,"Thailand","tanks","No","Yes","Oreochromis_niloticus_niloticus",2
"6005",11.4,"SL",6.42,NA,"",NA,NA,NA,2.92,"Thailand","tanks","No","Yes","Oreochromis_niloticus_niloticus",2
"6006",11.8,"SL",4.15,NA,"",NA,NA,NA,2.76,"Thailand","tanks","No","Yes","Oreochromis_niloticus_niloticus",2
"6007",12,"SL",9.87,NA,"",NA,NA,NA,3.15,"Thailand","tanks","No","Yes","Oreochromis_niloticus_niloticus",2
"6008",12.3,"SL",6.53,NA,"",NA,NA,NA,2.99,"Thailand","tanks","No","Yes","Oreochromis_niloticus_niloticus",2
"6009",12.4,"SL",7.16,NA,"",NA,27.6,NA,3.04,"Philippines","ponds","No","Yes","Oreochromis_niloticus_niloticus",2
"6010",12.7,"SL",12.35,NA,"",NA,27.6,NA,3.3,"Philippines","ponds","No","Yes","Oreochromis_niloticus_niloticus",2
"6011",12.9,"SL",5.48,NA,"",NA,NA,NA,2.96,"Thailand","ponds","No","Yes","Oreochromis_niloticus_niloticus",2
"6012",12.9,"SL",13.93,NA,"",NA,NA,NA,3.37,"Philippines","Sampaloc Lake, cages","No","Yes","Oreochromis_niloticus_niloticus",2
"6013",13.2,"SL",13.21,NA,"M",NA,NA,NA,3.36,"Belgium","tanks","No","Yes","Oreochromis_niloticus_niloticus",2
"6014",13.2,"SL",6.54,NA,"",NA,NA,NA,3.06,"Philippines","Sampaloc Lake, cages","No","Yes","Oreochromis_niloticus_niloticus",2
"6015",13.3,"SL",7.09,NA,"",NA,NA,NA,3.1,"Thailand","tanks","No","Yes","Oreochromis_niloticus_niloticus",2
"6016",13.3,"SL",7.63,NA,"",NA,NA,NA,3.13,"Thailand","tanks","No","Yes","Oreochromis_niloticus_niloticus",2
"6017",13.5,"SL",9.22,NA,"",NA,27.6,NA,3.23,"Philippines","ponds","No","Yes","Oreochromis_niloticus_niloticus",2
"6018",13.7,"SL",4.75,NA,"",NA,NA,NA,2.95,"Thailand","tanks","No","Yes","Oreochromis_niloticus_niloticus",2
"6019",13.7,"SL",9.71,NA,"",NA,NA,NA,3.26,"Thailand","ponds","No","Yes","Oreochromis_niloticus_niloticus",2
"6020",14.2,"SL",7.29,NA,"",NA,NA,NA,3.17,"USA","ponds","No","Yes","Oreochromis_niloticus_niloticus",2
"6021",14.6,"SL",2.39,NA,"",NA,NA,NA,2.71,"Burkina Faso","ponds","No","Yes","Oreochromis_niloticus_niloticus",2
"6022",14.9,"SL",5.69,NA,"",NA,27.6,NA,3.1,"Philippines","ponds","No","Yes","Oreochromis_niloticus_niloticus",2
"6023",15.1,"SL",7.31,NA,"M",NA,NA,NA,3.22,"Central Afr. Rp","tanks","No","Yes","Oreochromis_niloticus_niloticus",2
"6024",15.3,"SL",10.38,NA,"",NA,27.6,NA,3.39,"Philippines","ponds","No","Yes","Oreochromis_niloticus_niloticus",2
"6025",15.4,"SL",7.84,NA,"",NA,NA,NA,3.27,"Philippines","Sampaloc Lake, cages","No","Yes","Oreochromis_niloticus_niloticus",2
"6026",15.6,"SL",3,NA,"F",NA,NA,NA,2.86,"Central Afr. Rp","tanks","No","Yes","Oreochromis_niloticus_niloticus",2
"6027",15.6,"SL",10.74,NA,"",NA,27.6,NA,3.42,"Philippines","ponds","No","Yes","Oreochromis_niloticus_niloticus",2
"6028",15.7,"SL",7.16,NA,"",NA,NA,NA,3.25,"Thailand","tanks","No","Yes","Oreochromis_niloticus_niloticus",2
"6029",15.8,"SL",7.11,NA,"",NA,NA,NA,3.25,"Thailand","tanks","No","Yes","Oreochromis_niloticus_niloticus",2
"6030",15.8,"SL",8.89,NA,"",NA,NA,NA,3.35,"Thailand","ponds","No","Yes","Oreochromis_niloticus_niloticus",2
"6031",15.8,"TL",0.75,-0.2,"",NA,NA,NA,2.27,"Burkina Faso","Sourou reservoir","Yes","No","Oreochromis_niloticus_niloticus",2
"6032",16.3,"SL",9.35,NA,"",NA,27.6,NA,3.4,"Philippines","ponds","No","Yes","Oreochromis_niloticus_niloticus",2
"6033",16.6,"SL",10.94,NA,"",NA,NA,NA,3.48,"Thailand","ponds","No","Yes","Oreochromis_niloticus_niloticus",2
"6034",16.9,"SL",7.65,NA,"",NA,NA,NA,3.34,"Thailand","ponds","No","Yes","Oreochromis_niloticus_niloticus",2
"6035",17.3,"SL",3,NA,"M",NA,NA,NA,2.95,"Central Afr. Rp","tanks","No","Yes","Oreochromis_niloticus_niloticus",2
"6036",17.3,"SL",12.65,NA,"M",NA,NA,NA,3.58,"Belgium","tanks","No","Yes","Oreochromis_niloticus_niloticus",2
"6037",17.4,"SL",10.63,NA,"",NA,27.6,NA,3.51,"Philippines","ponds","No","Yes","Oreochromis_niloticus_niloticus",2
"6038",17.6,"TL",0.46,-0.62,"",NA,NA,NA,2.15,"Burkina Faso","Tanguiga reservoir","Yes","No","Oreochromis_niloticus_niloticus",2
"6039",18.2,"TL",0.58,-0.25,"",NA,NA,NA,2.28,"Burkina Faso","Ramitenga reservoir","Yes","No","Oreochromis_niloticus_niloticus",2
"6040",18.3,"SL",5.88,NA,"",NA,NA,NA,3.29,"Thailand","tanks","No","Yes","Oreochromis_niloticus_niloticus",2
"6041",18.6,"SL",4.22,NA,"",NA,NA,NA,3.16,"Belgium","tanks","No","Yes","Oreochromis_niloticus_niloticus",2
"6042",18.9,"SL",10.67,NA,"M",NA,NA,NA,3.58,"Belgium","tanks","No","Yes","Oreochromis_niloticus_niloticus",2
"6043",18.9,"SL",2.95,NA,"",NA,NA,NA,3.02,"Sierra Leone","ponds","No","Yes","Oreochromis_niloticus_niloticus",2
"6044",19,"SL",4.79,NA,"F",NA,NA,NA,3.24,"Belgium","ponds","No","Yes","Oreochromis_niloticus_niloticus",2
"6045",19.1,"SL",6.6,NA,"M",NA,NA,NA,3.38,"Cote d'Ivoire","ponds","No","Yes","Oreochromis_niloticus_niloticus",2
"6046",19.3,"SL",4.74,NA,"",NA,NA,NA,3.25,"Cote d'Ivoire","Lake Kossou, cages","No","Yes","Oreochromis_niloticus_niloticus",2
"6047",20.6,"SL",5.41,NA,"",NA,27.6,NA,3.36,"Philippines","ponds","No","Yes","Oreochromis_niloticus_niloticus",2
"6048",20.8,"SL",6.58,NA,"M",NA,NA,NA,3.45,"USA","ponds","No","Yes","Oreochromis_niloticus_niloticus",2
"6049",21.3,"TL",0.52,-0.42,"",NA,NA,NA,2.37,"Burkina Faso","Petit Balé reservoir","No","No","Oreochromis_niloticus_niloticus",2
"6050",21.5,"SL",2.27,NA,"",NA,NA,NA,3.02,"Belgium","ponds","No","Yes","Oreochromis_niloticus_niloticus",2
"6051",21.9,"SL",4.33,NA,"",NA,NA,NA,3.32,"Cameroon","ponds","No","Yes","Oreochromis_niloticus_niloticus",2
"6052",22.2,"SL",4.27,NA,"M",NA,NA,NA,3.32,"Belgium","ponds","No","Yes","Oreochromis_niloticus_niloticus",2
"6053",22.3,"SL",0.88,NA,"",NA,NA,NA,2.64,"Burkina Faso","ponds","No","Yes","Oreochromis_niloticus_niloticus",2
"6054",22.4,"SL",2.92,NA,"",NA,NA,NA,3.17,"Philippines","cages","No","Yes","Oreochromis_niloticus_niloticus",2
"6055",22.5,"SL",2.98,NA,"F",NA,NA,NA,3.18,"Belgium","tanks","No","Yes","Oreochromis_niloticus_niloticus",2
"6056",22.5,"SL",10.46,NA,"M",NA,NA,NA,3.72,"USA","ponds","No","Yes","Oreochromis_niloticus_niloticus",2
"6057",22.8,"SL",4.18,NA,"M",NA,NA,NA,3.34,"USA","ponds","No","Yes","Oreochromis_niloticus_niloticus",2
"6058",22.8,"SL",8.03,NA,"M",NA,NA,NA,3.62,"USA","ponds","No","Yes","Oreochromis_niloticus_niloticus",2
"6059",22.8,"SL",0.44,NA,"F",NA,NA,NA,2.36,"Madagascar","Lake Alaotra","No","No","Oreochromis_niloticus_niloticus",2
"6060",23.1,"SL",2.54,NA,"M",NA,NA,NA,3.13,"Belgium","ponds","No","Yes","Oreochromis_niloticus_niloticus",2
"6061",23.3,"SL",5.42,NA,"M",NA,NA,NA,3.47,"Belgium","tanks","No","Yes","Oreochromis_niloticus_niloticus",2
"6062",23.4,"SL",3.69,NA,"M",NA,NA,NA,3.31,"Cote d'Ivoire","ponds","No","Yes","Oreochromis_niloticus_niloticus",2
"6063",23.5,"TL",1.38,NA,"",NA,20.6,NA,2.88,"Zambia","experimental ponds","No","Yes","Oreochromis_niloticus_niloticus",2
"6064",23.6,"SL",6.88,NA,"",NA,27.6,NA,3.58,"Philippines","ponds","No","Yes","Oreochromis_niloticus_niloticus",2
"6065",23.7,"TL",0.29,-0.81,"",NA,NA,NA,2.21,"Burkina Faso","Boulmigou reservoir","No","No","Oreochromis_niloticus_niloticus",2
"6066",23.8,"SL",3.85,NA,"",NA,27.6,NA,3.34,"Philippines","ponds","No","Yes","Oreochromis_niloticus_niloticus",2
"6067",23.9,"SL",1.88,NA,"",NA,NA,NA,3.03,"Cote d'Ivoire","cages","No","Yes","Oreochromis_niloticus_niloticus",2
"6068",24.8,"TL",4.82,NA,"",NA,28.1,NA,3.47,"Israel","Dor (experimental ponds)","No","Yes","Oreochromis_niloticus_niloticus",2
"6069",24.9,"SL",1.57,NA,"F",NA,NA,NA,2.99,"Central Afr. Rp","tanks","No","Yes","Oreochromis_niloticus_niloticus",2
"6070",25.5,"TL",2.39,NA,"M",NA,19.3,NA,3.19,"Peru","experimental ponds","No","Yes","Oreochromis_niloticus_niloticus",2
"6071",25.9,"SL",1.45,NA,"",NA,NA,NA,2.99,"Central Afr. Rp","tanks","No","Yes","Oreochromis_niloticus_niloticus",2
"6072",26.2,"TL",0.7,-0.09,"",NA,NA,NA,2.68,"Burkina Faso","Kokologho reservoir","No","No","Oreochromis_niloticus_niloticus",2
"6073",27.1,"SL",0.58,NA,"",NA,20.2,NA,2.63,"Egypt","Lake Mariout","No","No","Oreochromis_niloticus_niloticus",2
"6074",27.2,"SL",0.5,NA,"F",NA,NA,NA,2.57,"Madagascar","Lake Mantasoa","No","No","Oreochromis_niloticus_niloticus",2
"6075",27.9,"",0.44,NA,"",NA,NA,NA,2.53,"Syria","Lake Beteha","No","No","Oreochromis_niloticus_niloticus",2
"6076",28.6,"SL",0.51,NA,"M",NA,NA,NA,2.62,"Madagascar","Lake Mantasoa","No","No","Oreochromis_niloticus_niloticus",2
"6077",29.4,"SL",0.29,NA,"",0.49,20.2,13,2.41,"Egypt","Lake Manzalla","No","No","Oreochromis_niloticus_niloticus",2
"6078",29.4,"SL",0.59,NA,"",NA,NA,NA,2.71,"Egypt","Lake Mariout","No","No","Oreochromis_niloticus_niloticus",2
"6079",29.7,"TL",0.44,NA,"",NA,27,NA,2.59,"Kenya","Lake Turkana","No","No","Oreochromis_niloticus_niloticus",2
"6080",29.9,"SL",2.08,NA,"M",NA,NA,NA,3.27,"Belgium","tanks","No","Yes","Oreochromis_niloticus_niloticus",2
"6081",30.8,"TL",2.38,NA,"",NA,NA,NA,3.35,"Philippines","experimental ponds","No","Yes","Oreochromis_niloticus_niloticus",2
"6082",32.6,"SL",0.36,NA,"",NA,20.5,20,2.58,"Egypt","Noussa Hydrodome","No","No","Oreochromis_niloticus_niloticus",2
"6083",33.3,"TL",0.54,NA,"F",NA,NA,NA,2.78,"Israel","Lake Tiberias","No","No","Oreochromis_niloticus_niloticus",2
"6084",33.4,"SL",0.23,NA,"M",NA,NA,NA,2.41,"Madagascar","Lake Alaotra","No","No","Oreochromis_niloticus_niloticus",2
"6085",34.4,"SL",0.45,NA,"",NA,20.2,NA,2.73,"Egypt","Lake Mariout","No","No","Oreochromis_niloticus_niloticus",2
"6086",34.7,"SL",0.28,NA,"F",NA,NA,NA,2.52,"Madagascar","Lake Itasy","No","No","Oreochromis_niloticus_niloticus",2
"6087",35.5,"TL",0.48,NA,"",NA,28,NA,2.78,"Cote d'Ivoire","Lake Ayamé I (Bia Basin) (3° - 3°5' W ; 5°30'' - 6° N)","No","No","Oreochromis_niloticus_niloticus",2
"6088",35.7,"TL",0.5,NA,"M",NA,NA,NA,2.81,"Israel","Lake Tiberias","No","No","Oreochromis_niloticus_niloticus",2
"6089",35.7,"TL",0.5,NA,"",NA,22,NA,2.8,"Ethiopia","Bahir Dar Gulf, Lake Tana","No","No","Oreochromis_niloticus_niloticus",2
"6090",36.8,"SL",0.28,NA,"",NA,NA,NA,2.58,"Chad","Lake Tchad","No","No","Oreochromis_niloticus_niloticus",2
"6091",36.9,"SL",0.55,-0.12,"F",NA,NA,NA,2.87,"Egypt","High Dam Lake","No","No","Oreochromis_niloticus_niloticus",2
"6092",39,"SL",0.5,NA,"",NA,NA,28,2.88,"Uganda","Lake Albert","No","No","Oreochromis_niloticus_niloticus",2
"6093",39.1,"TL",0.2,-0.76,"",NA,NA,NA,2.49,"Burkina Faso","Tapoa reservoir","No","No","Oreochromis_niloticus_niloticus",2
"6094",40.8,"SL",0.72,NA,"F",NA,NA,NA,3.08,"Belgium","ponds","No","Yes","Oreochromis_niloticus_niloticus",2
"6095",42.8,"SL",0.38,-0.36,"M",NA,NA,NA,2.85,"Egypt","High Dam Lake","No","No","Oreochromis_niloticus_niloticus",2
"6096",46.2,"SL",0.55,NA,"",NA,NA,NA,3.07,"Egypt","Lake Nasser","No","No","Oreochromis_niloticus_niloticus",2
"6097",52,"TL",0.3,NA,"",NA,NA,NA,2.91,"Nigeria","Lake Kainji","No","No","Oreochromis_niloticus_niloticus",2
"6098",52.1,"SL",0.22,NA,"",NA,NA,NA,2.77,"Egypt","Lake Nasser","No","No","Oreochromis_niloticus_niloticus",2
"6099",54.5,"TL",0.34,NA,"",NA,NA,NA,3,"Sri Lanka","Kaudulla reservoir","No","No","Oreochromis_niloticus_niloticus",2
"6100",54.5,"TL",0.43,NA,"",NA,NA,NA,3.11,"Sri Lanka","Minnerya reservoir","No","No","Oreochromis_niloticus_niloticus",2
"6101",55.6,"TL",0.39,NA,"",NA,27,NA,3.08,"Bangladesh","Kaptai Lake","No","No","Oreochromis_niloticus_niloticus",2
"6102",56.3,"SL",0.41,NA,"",NA,NA,NA,3.11,"Nigeria","Lake Kainji","No","No","Oreochromis_niloticus_niloticus",2
"6103",56.7,"TL",0.26,NA,"",NA,NA,NA,2.93,"Nigeria","Opa Reservoir, IleIfe","No","No","Oreochromis_niloticus_niloticus",2
"6104",57.2,"SL",0.14,NA,"F",NA,NA,NA,2.65,"Madagascar","Lake Itasy","No","No","Oreochromis_niloticus_niloticus",2
"6105",61.3,"TL",0.35,NA,"",NA,NA,NA,3.12,"Kenya","Nyanza Gulf, Lake Victoria","No","No","Oreochromis_niloticus_niloticus",2
"6106",61.3,"TL",0.35,NA,"",NA,NA,NA,3.12,"Kenya","Lake Victoria","No","No","Oreochromis_niloticus_niloticus",2
"6107",25.5,"SL",0.72,NA,NA,0.87,25.2,NA,2.67,"Malawi","Lake Malawi","No","No","Oreochromis_saka",2043
"6108",34.7,"",0.56,NA,NA,0.87,NA,29,2.83,"Malawi","Lake Malawi","No","No","Oreochromis_saka",2043
"6109",11,"SL",9.87,NA,"",NA,NA,NA,3.08,"Malawi","","No","Yes","Oreochromis_shiranus_shiranus",1432
"6110",11,"SL",9.87,NA,"",NA,NA,NA,3.08,"Malawi","tanks","No","Yes","Oreochromis_shiranus_shiranus",1432
"6111",15.3,"TL",1.71,NA,"",NA,NA,NA,2.6,"Malawi","Domasi experimental station (pond 3)","No","Yes","Oreochromis_shiranus_shiranus",1432
"6112",18,"TL",0.91,NA,"",NA,NA,NA,2.47,"Malawi","Domasi experimental station (pond 2)","No","Yes","Oreochromis_shiranus_shiranus",1432
"6113",22.2,"TL",0.67,NA,"F",NA,24.4,14,2.52,"Malawi","Chizombezi reservoir","No","No","Oreochromis_shiranus_shiranus",1432
"6114",24,"SL",0.5,NA,"",NA,26,NA,2.46,"Malawi","Lake Malawi","No","No","Oreochromis_shiranus_shiranus",1432
"6115",25.3,"TL",0.66,NA,"M",NA,24.4,14,2.62,"Malawi","Chizombezi reservoir","No","No","Oreochromis_shiranus_shiranus",1432
"6116",27.3,"TL",0.51,NA,"",NA,NA,NA,2.58,"Malawi","Domasi experimental station (pond 1)","No","Yes","Oreochromis_shiranus_shiranus",1432
"6117",27.8,"SL",0.48,NA,"",NA,NA,NA,2.57,"Malawi","Lake Malawi","No","No","Oreochromis_shiranus_shiranus",1432
"6118",29.8,"TL",1.32,NA,"M",NA,24.4,15,3.07,"Malawi","Mbvoniha reservoir","No","No","Oreochromis_shiranus_shiranus",1432
"6119",31,"TL",0.85,NA,"F",NA,24.7,14,2.91,"Malawi","Mbvoniha reservoir","No","No","Oreochromis_shiranus_shiranus",1432
"6120",32.3,"TL",0.32,NA,"F",NA,NA,NA,2.52,"Malawi","Mikolongwe","No","No","Oreochromis_shiranus_shiranus",1432
"6121",41.1,"TL",0.27,NA,"M",NA,NA,NA,2.66,"Malawi","Mikolongwe","No","No","Oreochromis_shiranus_shiranus",1432
"6122",16.9,"SL",1.24,NA,"M",NA,NA,NA,2.55,"Uganda","aquaria","No","Yes","Oreochromis_spilurus_spilurus",1416
"6123",18.5,"SL",0.96,NA,"F",NA,NA,NA,2.51,"Uganda","aquaria","No","Yes","Oreochromis_spilurus_spilurus",1416
"6124",22.3,"SL",1.64,NA,"",NA,NA,NA,2.91,"Kenya","ponds","No","Yes","Oreochromis_spilurus_spilurus",1416
"6125",22.6,"SL",1.95,NA,"",NA,NA,NA,3,"Kenya","ponds","No","Yes","Oreochromis_spilurus_spilurus",1416
"6126",27.5,"NG",0.2,NA,"M",NA,24.6,NA,2.19,"Kenya","experimental ponds, Sagana","No","Yes","Oreochromis_spilurus_spilurus",1416
"6127",23.6,"SL",1.74,NA,NA,NA,NA,NA,2.99,"Malawi","ponds, National Aquaculture Center, Zomba","No","No","Oreochromis_squamipinnis",2044
"6128",26.2,"SL",0.45,NA,NA,NA,25.2,NA,2.49,"Malawi","Lake Malawi","No","No","Oreochromis_squamipinnis",2044
"6129",29.6,"",0.38,NA,NA,NA,NA,NA,2.52,"Malawi","Lake Malawi","No","No","Oreochromis_squamipinnis",2044
"6130",37.7,"TL",0.24,-0.97,NA,NA,NA,27,2.53,"Malawi","Lake Malawi (southeast arm)","No","No","Oreochromis_squamipinnis",2044
"6131",38.5,"TL",0.26,NA,NA,NA,NA,27,2.59,"Malawi","Lake Malawi (southeast)","No","No","Oreochromis_squamipinnis",2044
"6132",8,"TL",4.26,NA,NA,NA,22.5,NA,2.44,"","aquarium","No","Yes","Oreochromis_variabilis",1430
"6133",22,"SL",0.35,NA,NA,NA,25.5,NA,2.23,"Uganda","North Buvuma Island, Lake Victoria","No","No","Oreochromis_variabilis",1430
"6134",25.3,"SL",1.15,NA,NA,NA,NA,NA,2.87,"Kenya","ponds","No","Yes","Oreochromis_variabilis",1430
"6135",36.8,"FL",0.13,NA,NA,NA,27,NA,2.26,"Mexico","Colima","No","No","Orthopristis_reddingi",13724
"6136",41,"TL",0.35,NA,NA,NA,20.2,15.6,2.77,"Brazil","southern region","No","No","Orthopristis_ruber",1145
"6137",9.6,"TL",1.39,NA,NA,NA,NA,NA,2.11,"Russia","Rybinsk Reservoir","Yes","No","Osmerus_eperlanus",1334
"6138",12.6,"TL",0.37,NA,NA,NA,NA,NA,1.77,"Russia","Onega Lake","Yes","No","Osmerus_eperlanus",1334
"6139",13.3,"TL",0.88,NA,NA,NA,NA,NA,2.19,"Germany","Dadey Lake (formerly Eastern Prussia)","Yes","No","Osmerus_eperlanus",1334
"6140",17,"TL",0.34,NA,NA,NA,NA,NA,1.99,"Russia","Ilmen Lake","Yes","No","Osmerus_eperlanus",1334
"6141",25.1,"TL",0.21,NA,NA,NA,NA,NA,2.12,"Russia","Neva River","No","No","Osmerus_eperlanus",1334
"6142",28.5,"FL",0.26,-0.13,NA,NA,NA,NA,2.33,"Russia","Yenisei River","No","No","Osmerus_eperlanus",1334
"6143",28.8,"TL",0.25,NA,NA,0.44,NA,NA,2.32,"Russia","Yenisey River","No","No","Osmerus_eperlanus",1334
"6144",30.9,"TL",0.38,NA,NA,NA,2,NA,2.56,"Russia","White Sea, Kandalaksha Bay","No","No","Osmerus_eperlanus",1334
"6145",31.8,"TL",0.18,NA,NA,NA,2,NA,2.26,"Russia","Chesha Bay","No","No","Osmerus_eperlanus",1334
"6146",32.2,"TL",0.27,NA,NA,NA,9,NA,2.45,"Germany","Elbe Estuary","No","No","Osmerus_eperlanus",1334
"6147",32.4,"TL",0.26,NA,NA,NA,3.1,NA,2.43,"Russia","Kurishes Haff, Baltic","No","No","Osmerus_eperlanus",1334
"6148",38.3,"TL",0.15,NA,NA,NA,2,NA,2.35,"Russia","White Sea, Dvina Bay","No","No","Osmerus_eperlanus",1334
"6149",30.7,"TL",0.21,0.57,NA,NA,NA,NA,2.3,"Russia","Enisey river","No","No","Osmerus_mordax_dentex",22635
"6150",32.5,"SL",0.22,0.5,NA,NA,2.6,21,2.37,"Alaska","Alaskan Beaufort Sea","No","No","Osmerus_mordax_dentex",22635
"6151",41.4,"FL",0.12,0.03,NA,NA,NA,NA,2.31,"Russia","Basin of Enisey river","No","No","Osmerus_mordax_dentex",22635
"6152",22.5,"TL",0.72,NA,"M",NA,NA,NA,2.56,"USA","western Lake Superior","No","No","Osmerus_mordax_mordax",253
"6153",25.5,"TL",0.52,NA,"M",NA,NA,NA,2.53,"USA","Massachusetts river system","No","No","Osmerus_mordax_mordax",253
"6154",25.8,"TL",0.64,NA,"F",NA,NA,NA,2.63,"USA","Massachusetts river system","No","No","Osmerus_mordax_mordax",253
"6155",31.8,"TL",0.31,NA,"",0.72,NA,NA,2.5,"USA","Basin of Maine River","No","No","Osmerus_mordax_mordax",253
"6156",32.5,"TL",0.22,0.5,"",NA,1,NA,2.37,"Canada","Beaufort Sea","No","No","Osmerus_mordax_mordax",253
"6157",34.3,"TL",0.3,NA,"F",NA,NA,NA,2.55,"USA","western Lake Superior","No","No","Osmerus_mordax_mordax",253
"6158",27.8,"SL",1.15,NA,NA,NA,NA,NA,2.95,"Malaysia","Bukit Merah Reservoir","No","No","Osteochilus_hasseltii",277
"6159",34.5,"TL",0.32,NA,NA,NA,28,NA,2.58,"Thailand","Rajjaprabha Reservoir","No","No","Osteochilus_hasseltii",277
"6160",16.3,"SL",0.34,NA,NA,NA,29,NA,1.96,"Malaysia","Lawa River, Sarawak","No","No","Osteochilus_kahajanensis",17438
"6161",18.2,"SL",0.37,NA,NA,NA,29,NA,2.09,"Malaysia","Bulu River, Sarawak","No","No","Osteochilus_kahajanensis",17438
"6162",39.5,"TL",0.53,NA,NA,NA,27,NA,2.92,"India","Bombay coasts","No","No","Otolithes_cuvieri",13675
"6163",39.8,"TL",0.52,NA,NA,NA,27,NA,2.92,"India","Maharashtra coast","No","No","Otolithes_cuvieri",13675
"6164",40.3,"TL",0.61,NA,NA,NA,NA,NA,3,"India","Mumbai coast","No","No","Otolithes_cuvieri",13675
"6165",40.7,"TL",0.59,NA,NA,NA,27,NA,2.99,"India","Bombay waters","No","No","Otolithes_cuvieri",13675
"6166",29.5,"TL",0.46,NA,NA,NA,28.3,NA,2.6,"Philippines","San Miguel Bay","No","No","Otolithes_ruber",4824
"6167",35.5,"TL",0.43,NA,NA,NA,28.3,NA,2.73,"Philippines","San Miguel Bay","No","No","Otolithes_ruber",4824
"6168",42.9,"TL",0.14,NA,NA,NA,25,NA,2.42,"Mozambique","Sofala Bank","No","No","Otolithes_ruber",4824
"6169",45.9,"TL",0.32,NA,NA,NA,25,NA,2.83,"Mozambique","Sofala Bank","No","No","Otolithes_ruber",4824
"6170",59,"TL",0.39,NA,NA,0.87,26,22.1,3.13,"Kuwait","","No","No","Otolithes_ruber",4824
"6171",69.6,"TL",0.51,-0.53,NA,NA,22.8,NA,3.39,"Kuwait","","No","No","Otolithes_ruber",4824
"6172",17.7,"TL",0.45,NA,NA,NA,NA,NA,2.15,"India","Mumbai coast","Yes","No","Otolithoides_biauritus",4570
"6173",160,"TL",0.21,NA,NA,NA,27,NA,3.73,"India","off Bombay","No","No","Otolithoides_biauritus",4570
"6174",206,"NG",0.14,NA,NA,NA,21.5,NA,3.77,"India","Bombay","Yes","No","Otolithoides_biauritus",4570
"6175",89.7,"TL",0.17,NA,NA,NA,20,NA,3.14,"Argentina","Puerto Sánchez, Rio Paraná","No","No","Oxydoras_kneri",47639
"6176",22.5,"TL",1.2,NA,NA,NA,28,NA,2.78,"Philippines","Camotes Sea","No","No","Oxyporhamphus_convexus",16884
"6177",23,"NG",1,NA,NA,NA,28.7,NA,2.72,"Philippines","Bohol Sea","No","No","Oxyporhamphus_micropterus_micropterus",12112
"6178",40,"",0.13,NA,NA,NA,NA,NA,2.32,"",NA,"No","No","Pachymetopon_aeneum",5999
"6179",46.7,"FL",0.13,NA,NA,0.37,21,25,2.46,"South Africa",NA,"No","No","Pachymetopon_aeneum",5999
"6180",40,"",0.14,NA,NA,NA,NA,NA,2.35,"","","No","No","Pachymetopon_blochii",5505
