"","Linf","length_type","K","t0","sex","temp","Lm","","omega","country","locality","questionable","captive","NA","NA"
"65",11,"SL",0.41,-0.27,NA,NA,12,NA,1.7,"Madagascar","Mozambique/Madagascar Ridge","No","No","Acanthochaenus_luetkenii",9046
"66",18.5,"TL",0.41,NA,NA,NA,12,NA,2.15,"New Zealand","Auckland harbour","No","No","Acanthoclinus_littoreus",49224
"67",149,"FL",0.34,-1.54,NA,NA,NA,NA,3.88,"","Southern Caribbean","No","No","Acanthocybium_solandri",89
"68",157,"FL",0.25,NA,NA,NA,NA,NA,3.78,"","","No","No","Acanthocybium_solandri",89
"69",158,"FL",0.34,NA,NA,NA,27,NA,3.93,"St Lucia","","No","No","Acanthocybium_solandri",89
"70",159,"FL",0.34,NA,NA,NA,NA,NA,3.93,"St Lucia","Western Central Atlantic","No","No","Acanthocybium_solandri",89
"71",170,"FL",0.38,-1.63,NA,NA,NA,NA,4.04,"","Florida east coast and northern Bahamas","No","No","Acanthocybium_solandri",89
"72",215,"FL",0.15,-3.67,NA,NA,NA,NA,3.85,"USA","North Carolina","No","No","Acanthocybium_solandri",89
"73",29.5,"FL",0.51,-0.32,NA,NA,12,NA,2.65,"Australia","Moreton Bay","No","No","Acanthopagrus_australis",8109
"74",36.4,"TL",0.38,-0.22,NA,NA,26,NA,2.7,"Kuwait",NA,"No","No","Acanthopagrus_berda",5526
"75",38,"",0.22,-1.56,NA,NA,NA,NA,2.5,"",NA,"No","No","Acanthopagrus_berda",5526
"76",38.3,"TL",0.27,-0.47,NA,0.31,26,NA,2.6,"Kuwait",NA,"No","No","Acanthopagrus_berda",5526
"77",29.8,"FL",0.25,-0.04,"",NA,29,NA,2.35,"Yemen","Gulf of Aden","No","No","Acanthopagrus_bifasciatus",4543
"78",32.7,"FL",0.3,-1.49,"M",NA,NA,21.9,2.5,"United Arab Em.","Abu Dhabi","No","No","Acanthopagrus_bifasciatus",4543
"79",33.6,"FL",0.25,-1.5,"F",NA,NA,26.4,2.46,"United Arab Em.","off Abu Dhabi","No","No","Acanthopagrus_bifasciatus",4543
"80",34.9,"TL",0.19,-2.24,"",0.23,26,NA,2.36,"Kuwait","","No","No","Acanthopagrus_bifasciatus",4543
"81",48.1,"TL",0.18,-0.93,"",NA,27.6,NA,2.62,"Yemen","Gulf of Aden, 50 m","No","No","Acanthopagrus_bifasciatus",4543
"82",32.3,"TL",0.21,-0.31,"M",NA,15,NA,2.34,"Australia","Nornalup Walpole Estuary (southern west coast)","No","No","Acanthopagrus_butcheri",14601
"83",34.5,"TL",0.27,-0.18,"M",NA,15,NA,2.51,"Australia","Wellstead Estuary (southern west coast)","No","No","Acanthopagrus_butcheri",14601
"84",36.7,"TL",0.16,-0.6,"F",NA,15,NA,2.33,"Australia","Nornalup Walpole Estuary (southern west coast)","No","No","Acanthopagrus_butcheri",14601
"85",37.8,"TL",0.25,-0.17,"F",NA,15,NA,2.55,"Australia","Wellstead Estuary (southern west coast)","No","No","Acanthopagrus_butcheri",14601
"86",38,"FL",0.08,-3.7,"M",NA,15.3,NA,2.05,"Australia","Gippsland lakes, Victoria","Yes","No","Acanthopagrus_butcheri",14601
"87",40.2,"FL",0.07,-4.14,"",NA,15.3,NA,2.05,"Australia","Gippsland lakes, Victoria","Yes","No","Acanthopagrus_butcheri",14601
"88",41.9,"TL",0.31,-0.15,"M",NA,15,NA,2.74,"Australia","Swan River Estuary (southern west coast)","No","No","Acanthopagrus_butcheri",14601
"89",42.9,"TL",0.11,-0.61,"M",NA,15,NA,2.31,"Australia","Moore River Estuary (southern west coast)","No","No","Acanthopagrus_butcheri",14601
"90",43.7,"TL",0.3,-0.13,"F",NA,15,NA,2.76,"Australia","Swan River Estuary (southern west coast)","No","No","Acanthopagrus_butcheri",14601
"91",43.8,"",0.3,NA,"",NA,NA,NA,2.76,"","","No","No","Acanthopagrus_butcheri",14601
"92",44.2,"TL",0.32,-0.46,"M",NA,15,NA,2.8,"Australia","Lake Clifton, Western Australia","No","No","Acanthopagrus_butcheri",14601
"93",45.2,"TL",0.11,-0.54,"F",NA,15,NA,2.35,"Australia","Moore River Estuary (southern west coast)","No","No","Acanthopagrus_butcheri",14601
"94",54.5,"FL",0.04,-5.21,"F",NA,15.3,NA,2.07,"Australia","Gippsland lakes, Victoria","Yes","No","Acanthopagrus_butcheri",14601
"95",52,NA,0.17,-0.92,NA,NA,NA,NA,2.65,NA,NA,"No","No","Acanthopagrus_latus",6356
"96",23.5,"SL",0.68,NA,NA,NA,26,NA,2.57,"Australia","Great Barrier Reef","No","No","Acanthurus_auranticavus",4748
"97",14.8,"SL",1.58,NA,NA,NA,NA,NA,2.54,"Panama","San Blas (9°N, southwestern Caribbean)","No","No","Acanthurus_bahianus",942
"98",15.6,"SL",0.99,NA,NA,NA,NA,NA,2.38,"Bahamas","Lee Stocking Is.","No","No","Acanthurus_bahianus",942
"99",17.6,"SL",1.06,NA,NA,NA,NA,NA,2.52,"Ascension I.","Ascension Is. (8°S)","No","No","Acanthurus_bahianus",942
"100",18.3,"SL",1.2,NA,NA,NA,NA,NA,2.6,"Brazil","Cabo Frio (23° S)","No","No","Acanthurus_bahianus",942
"101",18.9,"SL",1.24,NA,NA,NA,NA,NA,2.65,"St Helena","St. Helena Is. (16?S)","No","No","Acanthurus_bahianus",942
"102",24.6,"FL",0.38,NA,NA,NA,28.5,NA,2.37,"Virgin Is. (US)","","No","No","Acanthurus_bahianus",942
"103",27.6,"SL",0.25,-0.38,NA,NA,26,NA,2.28,"Australia","Great Barrier Reef","No","No","Acanthurus_blochii",4750
"104",20,"SL",0.71,NA,NA,NA,NA,NA,2.45,"Panama","San Blas (southwestern Caribbean)","No","No","Acanthurus_chirurgus",943
"105",33.2,"TL",0.25,NA,NA,NA,28.2,NA,2.45,"Virgin Is. (US)","","No","No","Acanthurus_chirurgus",943
"106",35,"",0.5,NA,NA,1.58,27,17,2.79,"Jamaica","Reefs","No","No","Acanthurus_chirurgus",943
"107",17.4,"SL",0.82,NA,NA,NA,NA,NA,2.39,"Bahamas","Lee Stocking Is.","No","No","Acanthurus_coeruleus",944
"108",18.3,"SL",0.48,NA,NA,NA,NA,NA,2.2,"Panama","San Blas (southwestern Caribbean)","No","No","Acanthurus_coeruleus",944
"109",19.3,"SL",0.4,NA,NA,NA,NA,NA,2.18,"Ascension I.","Ascension Is., south central Atlantic","No","No","Acanthurus_coeruleus",944
"110",30,"",0.5,NA,NA,1.49,27,13,2.65,"Jamaica","Reefs","No","No","Acanthurus_coeruleus",944
"111",36.9,"FL",0.11,NA,NA,NA,28.2,NA,2.18,"Virgin Is. (US)","St. John","No","No","Acanthurus_coeruleus",944
"112",30.8,"SL",0.3,-0.29,NA,NA,26,NA,2.45,"Australia","Great Barrier Reef","No","No","Acanthurus_dussumieri",1256
"113",21,"TL",1.3,NA,NA,NA,27,NA,2.76,"India","Lakshadweep lagoons","No","No","Acanthurus_leucosternon",1257
"114",17.5,"SL",0.34,NA,NA,NA,26,NA,2.02,"Australia","northern Great Barrier Reef (mid-shelf)","No","No","Acanthurus_lineatus",1258
"115",18.3,"SL",0.46,NA,NA,NA,NA,NA,2.19,"Australia","northern Great Barrier Reef","No","No","Acanthurus_lineatus",1258
"116",18.9,"SL",0.68,NA,NA,NA,26,NA,2.39,"Australia","northern Great Barrier Reef (mid-shelf)","No","No","Acanthurus_lineatus",1258
"117",20.3,"FL",0.7,NA,NA,NA,28.6,18,2.46,"American Samoa","Tutuila Island (14°S, 171°W)","No","No","Acanthurus_lineatus",1258
"118",28.7,"TL",2.56,NA,NA,NA,27,NA,3.32,"India","Lakshadweep lagoons","Yes","No","Acanthurus_lineatus",1258
"119",38.3,"SL",0.22,NA,NA,NA,26,NA,2.51,"Australia","Great Barrier Reef","No","No","Acanthurus_mata",1255
"120",14.3,"SL",0.28,-0.69,NA,NA,26,NA,1.76,"Australia","Great Barrie Reef","No","No","Acanthurus_nigricans",6011
"121",24.3,"TL",0.6,NA,NA,NA,27,NA,2.55,"India","Lakshadweep lagoons","No","No","Acanthurus_nigricauda",4747
"122",12,"SL",0.78,NA,NA,NA,NA,NA,2.05,"","","No","No","Acanthurus_nigrofuscus",4739
"123",12.7,"FL",0.51,-1.81,NA,NA,25,10.5,1.92,"Australia","Coil reef, Northern Queensland","No","No","Acanthurus_nigrofuscus",4739
"124",14.4,"FL",0.16,-8.15,NA,NA,25,10.5,1.52,"Australia","Dip reef, Northern Queensland","Yes","No","Acanthurus_nigrofuscus",4739
"125",15.8,"FL",0.45,-2.26,NA,NA,25.8,10.5,2.05,"Australia","Yankee reef, Northern Queensland","No","No","Acanthurus_nigrofuscus",4739
"126",16.6,"FL",1.72,0.31,NA,NA,26,13.5,2.68,"Australia","Centipede reef, Northern Queensland","No","No","Acanthurus_nigrofuscus",4739
"127",18,"NG",1,NA,NA,NA,28,NA,2.51,"Micronesia","Woleai Atoll, Yap State","No","No","Acanthurus_nigrofuscus",4739
"128",21,"SL",1.07,NA,NA,NA,NA,NA,2.67,"Australia","northern Great Barrier Reef","No","No","Acanthurus_olivaceus",4744
"129",14.3,"SL",0.42,NA,NA,NA,26,NA,1.94,"Australia","Great Barrier Reef","No","No","Acanthurus_pyroferus",4742
"130",20,"TL",1,NA,NA,NA,27,NA,2.6,"India","Lakshadweep lagoons","No","No","Acanthurus_triostegus",1260
"131",20.3,"FL",1.43,0.05,NA,NA,NA,NA,2.77,"Hawaii","","No","No","Acanthurus_triostegus",1260
"132",21.7,"SL",0.35,NA,NA,NA,25.6,NA,2.22,"Hawaii","Oahu","No","No","Acanthurus_triostegus",1260
